,id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,city,zipcode,market,smart_location,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,len_name,len_host_about,len_summary,len_description,len_neighborhood_overview,len_transit,count_amenities,count_host_verifications,amenities_wireless internet,amenities_heating,amenities_kitchen,amenities_essentials,amenities_smoke detector,amenities_air conditioning,amenities_tv,amenities_internet,amenities_dryer,amenities_washer,amenities_carbon monoxide detector,amenities_shampoo,amenities_hangers,amenities_family/kid friendly,amenities_laptop friendly workspace,amenities_iron,amenities_hair dryer,amenities_cable tv,amenities_fire extinguisher,amenities_24-hour check-in,amenities_first aid kit,amenities_elevator in building,amenities_buzzer/wireless intercom,amenities_free parking on premises,amenities_pets allowed,amenities_gym,amenities_lock on bedroom door,amenities_safety card,amenities_pets live on this property,amenities_indoor fireplace,amenities_breakfast,amenities_doorman,amenities_dog(s),amenities_cat(s),amenities_hot tub,amenities_pool,amenities_wheelchair accessible,amenities_suitable for events,amenities_smoking allowed,amenities_other pet(s),amenities_free parking on street,amenities_paid parking off premises,amenities_washer / dryer,host_verifications_phone,host_verifications_email,host_verifications_reviews,host_verifications_jumio,host_verifications_kba,host_verifications_facebook,host_verifications_manual_offline,host_verifications_google,host_verifications_linkedin,host_verifications_amex,host_verifications_manual_online,host_verifications_weibo,host_verifications_sent_id
726,7181950,1035,"Boston, Massachusetts, United States",within an hour,100.0,99.0,1,Back Bay,15,1,1,North End,Boston,02113,Boston,"Boston, MA",1,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,199.0,80.0,3,30.0,3,More than a week,2 days ago,10,23,50,325,67,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict,0,0,15,4.95,29,1542.0,245.0,1000,0.0,0.0,20,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0
727,6197950,174,"Boston, Massachusetts, United States",,,,1,,1,1,1,North End,Boston,02109,Boston,"Boston, MA",0,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,600.0,75.0,4,50.0,2,More than a week,7 months ago,0,0,0,0,8,98.0,10.0,9.0,10.0,10.0,10.0,10.0,0,moderate,0,0,1,0.51,32,468.0,241.0,1000,342.0,262.0,15,5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
728,971393,239,"Boston, Massachusetts, United States",within a day,100.0,0.0,0,North End,1,1,1,North End,Boston,02113,Boston,"Boston, MA",1,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,175.0,,1,0.0,3,Week or less,3 months ago,0,0,1,273,11,95.0,9.0,10.0,10.0,10.0,9.0,9.0,0,moderate,0,0,1,0.26,35,12.0,0.0,735,0.0,0.0,10,5,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
729,9344096,616,"Boston, Massachusetts, United States",,,,0,North End,1,1,1,North End,Boston,02113,Boston,"Boston, MA",1,Apartment,Entire home/apt,6,1.0,3.0,3.0,Real Bed,175.0,,3,25.0,2,More than a week,7 weeks ago,0,0,0,0,3,93.0,9.0,9.0,9.0,10.0,10.0,10.0,0,flexible,0,0,1,0.32,34,382.0,233.0,1000,289.0,224.0,13,4,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
730,7984226,289,"Boston, Massachusetts, United States",,,,0,North End,1,1,0,North End,Boston,02113,Boston,"Boston, MA",1,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,250.0,,1,0.0,1,More than a week,12 months ago,0,0,0,0,0,,,,,,,,0,flexible,0,0,1,,16,0.0,104.0,104,0.0,0.0,9,2,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
731,12784064,1489,"Boston, Massachusetts, United States",within a few hours,97.0,84.0,0,Downtown,11,1,1,North End,Boston,02113,Boston,"Boston, MA",1,Condominium,Entire home/apt,6,1.0,2.0,4.0,Real Bed,225.0,140.0,5,10.0,3,More than a week,5 days ago,2,9,39,310,11,95.0,9.0,10.0,10.0,10.0,10.0,9.0,0,strict,0,0,7,3.98,50,1.0,499.0,1000,181.0,85.0,19,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
732,8458210,1041,"Boston, Massachusetts, United States",within an hour,100.0,99.0,1,Back Bay,15,1,1,North End,Boston,02109,Boston,"Boston, MA",1,Apartment,Entire home/apt,6,1.0,2.0,2.0,Real Bed,325.0,100.0,4,25.0,2,More than a week,2 days ago,14,39,69,344,48,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict,0,0,15,4.3,33,1542.0,250.0,1000,0.0,0.0,20,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0
733,2183058,971,"Holden, Massachusetts, United States",within an hour,100.0,100.0,1,North End,1,1,1,North End,Boston,02113,Boston,"Boston, MA",1,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,175.0,95.0,2,0.0,4,More than a week,2 weeks ago,5,17,47,299,73,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict,0,0,1,2.4,31,583.0,436.0,1000,227.0,218.0,22,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
734,4279959,585,"Boston, Massachusetts, United States",within a day,100.0,100.0,0,North End,1,1,1,North End,Boston,02113,Boston,"Boston, MA",1,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,179.0,,1,0.0,2,More than a week,3 months ago,0,0,0,246,24,90.0,9.0,8.0,10.0,10.0,10.0,9.0,0,flexible,0,0,1,1.03,30,0.0,245.0,708,0.0,64.0,12,4,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
735,2657905,1250,"New York, New York, United States",within an hour,100.0,100.0,0,North End,11,1,0,North End,Boston,02108,Boston,"Boston, MA",1,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,99.0,85.0,2,25.0,1,More than a week,yesterday,7,12,37,270,49,88.0,9.0,9.0,9.0,9.0,10.0,9.0,1,strict,0,0,10,1.74,34,263.0,144.0,991,371.0,60.0,18,3,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
